bez,year,adjAI,adWE
203,1998,68.98804,32.52758
203,1999,65.15534,32.52758
203,2000,61.32264,32.52758
203,2001,57.48995,32.52758
203,2002,53.65726,32.52758
203,2003,49.82456,32.52758
203,2004,45.99187,32.52758
203,2005,42.15917,32.52758
203,2006,38.32648,32.52758
204,1998,69.56451,17.78102
204,1999,69.56113,17.78102
204,2000,69.55774,17.78102
204,2001,69.55436,17.78102
204,2002,69.55098,17.78102
204,2003,69.54759,17.78102
204,2004,69.5442,17.78102
204,2005,69.54082,17.78102
204,2006,69.53744,17.78102
205,1998,79.76411,0
205,1999,79.68049,0
205,2000,79.59687,0
205,2001,79.51324,0
205,2002,79.42963,0
205,2003,79.346,0
205,2004,79.26237,0
205,2005,79.17876,0
205,2006,79.09513,0
206,1998,91.05333,7.558987
206,1999,89.90647,7.558987
206,2000,88.75962,7.558987
206,2001,87.61275,7.558987
206,2002,86.4659,7.558987
206,2003,85.31905,7.558987
206,2004,84.1722,7.558987
206,2005,83.02534,7.558987
206,2006,81.87849,7.558987
207,1998,78.72501,10.30453
207,1999,79.10071,10.30453
207,2000,79.47641,10.30453
207,2001,79.85212,10.30453
207,2002,80.22782,10.30453
207,2003,80.60352,10.30453
207,2004,80.97923,10.30453
207,2005,81.35493,10.30453
207,2006,81.73064,10.30453
208,1998,69.08793,21.53565
208,1999,69.07261,21.53565
208,2000,69.0573,21.53565
208,2001,69.04198,21.53565
208,2002,69.02666,21.53565
208,2003,69.01135,21.53565
208,2004,68.99604,21.53565
208,2005,68.98073,21.53565
208,2006,68.96541,21.53565
209,1998,79.51266,2.941966
209,1999,79.48302,2.941966
209,2000,79.45337,2.941966
209,2001,79.42372,2.941966
209,2002,79.39407,2.941966
209,2003,79.36442,2.941966
209,2004,79.33477,2.941966
209,2005,79.30512,2.941966
209,2006,79.27547,2.941966
210,1998,67.63558,13.39277
210,1999,67.36383,13.39277
210,2000,67.09207,13.39277
210,2001,66.82032,13.39277
210,2002,66.54856,13.39277
210,2003,66.2768,13.39277
210,2004,66.00505,13.39277
210,2005,65.73329,13.39277
210,2006,65.46154,13.39277
303,1998,66.01469,24.74671
